codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;14:20:00.0;0,2
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;14:30:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;14:40:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;14:50:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;15:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;15:10:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;15:20:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;16:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;17:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;18:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;19:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;20:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;21:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;22:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;04/06/2015;23:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;00:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;01:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;02:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;03:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;04:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;05:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;06:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;07:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;08:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;09:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;10:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;11:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;12:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;13:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;14:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;15:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;16:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;17:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;18:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;19:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;20:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;21:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;22:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;05/06/2015;23:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;00:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;01:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;02:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;03:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;04:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;05:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;06:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;07:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;08:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;09:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;10:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;11:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;12:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;13:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;14:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;15:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;16:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;17:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;18:00:00.0;0
240100801A;APODI;RN;Sitio Jatoba;-5.655;-37.816;06/06/2015;19:00:00.0;0
